"villid","hogid","D_HH","IncomeLab","famsize","agehead","sexhead","pov_HH"
"01001106","0101103050.0539",1,NA,6,29,"Female","pobre"
"01001106","0101103052.0540",1,NA,6,43,"Male","no pobre"
"01001106","0101103054.0541",1,NA,6,43,"Male","no pobre"
"01001106","0101103056.0542",1,3200,5,25,"Female","pobre"
"01001106","0101103058.0543",1,NA,5,40,"Male","no pobre"
"01001106","0101103060.0544",1,4320,5,40,"Male","no pobre"
"01001106","0101103062.0545",1,4800,5,39,"Male","no pobre"
"01001106","0101103064.0546",1,NA,6,45,"Female","pobre"
"01001106","0101103066.0547",1,NA,6,42,"Male","no pobre"
"01001106","0101103068.0548",1,3200,3,22,"Male","pobre"
"01001106","0101103070.0549",1,NA,6,40,"Female","no pobre"
"01001106","0101103072.0550",1,NA,5,24,"Male","pobre"
"01001315","0101103002.0639",1,NA,6,29,"Male","pobre"
"01001315","0101103004.0640",1,NA,6,74,"Male","pobre"
"01001315","0101103006.0641",1,NA,6,41,"Male","no pobre"
"01001315","0101103008.0642",1,NA,5,48,"Male","pobre"
"01001315","0101103012.0644",1,NA,4,32,"Male","pobre"
"01001315","0101103014.0645",1,NA,11,30,"Female","pobre"
"01001315","0101103016.0646",1,NA,5,41,"Female","pobre"
"01001315","0101103018.0647",1,1000,4,25,"Male","no pobre"
"01001315","0101103024.0650",1,NA,4,36,"Female","pobre"
"01002008","0102103002.0699",1,3000,4,29,"Male","pobre"
"01002008","0102103004.0700",1,NA,6,45,"Female","no pobre"
"01002008","0102103006.0701",1,1200,6,51,"Male","no pobre"
"01002008","0102103008.0702",1,NA,5,71,"Male","no pobre"
"01002008","0102103010.0703",1,1000,4,27,"Male","no pobre"
"01002008","0102103012.0704",1,NA,6,31,"Male","pobre"
"01002008","0102103014.0705",1,NA,4,36,"Male","no pobre"
"01002008","0102103016.0706",1,NA,7,34,"Male","pobre"
"01002008","0102103018.0707",1,NA,9,47,"Male","no pobre"
"01002008","0102103020.0708",1,NA,5,41,"Male","no pobre"
"01002008","0102103022.0709",1,NA,6,40,"Male","pobre"
"01002008","0102103024.0710",1,4000,6,38,"Male","pobre"
"01002010","0104103026.0703",1,NA,2,42,"Female","no pobre"
"01002010","0104103028.0704",0,NA,3,43,"Male","no pobre"
"01002010","0104103032.0706",1,NA,6,35,"Male","pobre"
"01002010","0104103034.0707",1,NA,3,28,"Male","no pobre"
"01002010","0104103036.0708",1,NA,5,37,"Male","no pobre"
"01002010","0104103038.0709",1,NA,6,59,"Male","pobre"
"01002010","0104103040.0710",1,6300,5,39,"Male","no pobre"
"01002010","0104103042.0711",1,NA,6,35,"Female","pobre"
"01002010","0104103044.0712",1,NA,5,41,"Male","pobre"
"01002010","0104103046.0713",1,NA,4,33,"Male","pobre"
"01002010","0104103048.0714",1,2400,5,36,"Male","pobre"
"01002025","0102103050.0611",1,NA,5,32,"Male","pobre"
"01002025","0102103052.0612",1,NA,1,68,"Female","no pobre"
"01002025","0102103054.0613",1,NA,5,66,"Female","pobre"
"01002025","0102103056.0614",1,3000,6,43,"Male","no pobre"
"01002025","0102103058.0615",0,3000,11,58,"Male","pobre"
"01002025","0102103060.0616",1,NA,6,29,"Male","pobre"
"01002025","0102103062.0617",1,NA,4,24,"Male","pobre"
"01002025","0102103064.0618",1,3000,4,44,"Male","no pobre"
"01002025","0102103066.0619",0,NA,13,46,"Male","pobre"
"01002025","0102103068.0620",1,NA,12,55,"Male","pobre"
"01002025","0102103070.0621",1,NA,5,33,"Male","pobre"
"01002025","0102103072.0622",1,NA,4,32,"Male","pobre"
"01002030","0103103050.0711",1,NA,5,38,"Male","pobre"
"01002030","0103103052.0712",1,NA,9,87,"Male","pobre"
"01002030","0103103054.0713",1,NA,6,44,"Male","no pobre"
"01002030","0103103056.0714",1,NA,4,34,"Male","pobre"
"01002030","0103103058.0715",1,300,6,34,"Male","pobre"
"01002030","0103103060.0716",1,NA,4,56,"Male","pobre"
"01002030","0103103062.0717",1,NA,9,62,"Male","pobre"
"01002030","0103103064.0718",1,NA,6,46,"Male","pobre"
"01002030","0103103066.0719",1,NA,2,52,"Male","pobre"
"01002030","0103103068.0720",1,NA,5,78,"Male","pobre"
"01002030","0103103070.0721",1,3440,8,40,"Female","pobre"
"01002030","0103103072.0722",1,3200,5,42,"Male","no pobre"
"01002033","0103103026.0739",1,NA,6,36,"Male","pobre"
"01002033","0103103028.0740",1,NA,7,31,"Male","pobre"
"01002033","0103103030.0741",1,NA,6,43,"Male","pobre"
"01002033","0103103032.0742",1,NA,6,35,"Male","pobre"
"01002033","0103103034.0743",0,NA,7,60,"Male","pobre"
"01002033","0103103036.0744",1,NA,4,25,"Female","no pobre"
"01002033","0103103038.0745",1,NA,7,39,"Male","pobre"
"01002033","0103103040.0746",1,3600,3,34,"Male","pobre"
"01002033","0103103042.0747",1,NA,4,81,"Female","pobre"
"01002033","0103103046.0749",1,NA,10,36,"Male","pobre"
"01002033","0103103048.0750",1,NA,6,32,"Male","pobre"
"01002035","0102103026.0727",1,NA,6,36,"Male","no pobre"
"01002035","0102103028.0728",1,3000,4,36,"Male","pobre"
"01002035","0102103032.0730",1,NA,10,39,"Male","no pobre"
"01002035","0102103034.0731",1,NA,4,35,"Male","pobre"
"01002035","0102103036.0732",1,2800,3,26,"Male","no pobre"
"01002035","0102103038.0733",1,NA,6,36,"Male","pobre"
"01002035","0102103040.0734",1,NA,6,47,"Female","pobre"
"01002035","0102103042.0735",1,NA,8,36,"Male","pobre"
"01002035","0102103044.0736",1,3000,14,47,"Male","pobre"
"01002035","0102103046.0737",1,NA,7,47,"Male","pobre"
"01002060","0104103002.0675",1,NA,5,32,"Male","pobre"
"01002060","0104103004.0676",1,NA,3,46,"Male","no pobre"
"01002060","0104103006.0677",1,NA,9,67,"Male","no pobre"
"01002060","0104103008.0678",1,NA,2,86,"Male","pobre"
"01002060","0104103010.0679",1,NA,6,43,"Male","no pobre"
"01002060","0104103012.0680",1,NA,7,36,"Male","pobre"
"01002060","0104103014.0681",1,NA,9,51,"Male","pobre"
"01002060","0104103016.0682",1,NA,6,37,"Male","pobre"
"01002060","0104103020.0684",1,NA,3,71,"Female","no pobre"
"01002060","0104103022.0685",1,NA,7,39,"Female","no pobre"
"01002060","0104103024.0686",1,NA,7,43,"Male","no pobre"
"01002094","0103103002.0623",1,NA,5,29,"Male","pobre"
"01002094","0103103004.0624",1,NA,5,56,"Male","pobre"
"01002094","0103103004.0625",1,NA,6,44,"Female","pobre"
"01002094","0103103008.0626",1,NA,6,42,"Male","pobre"
"01002094","0103103010.0627",1,NA,5,29,"Female","pobre"
"01002094","0103103012.0628",1,NA,6,28,"Male","pobre"
"01002094","0103103014.0629",1,NA,4,68,"Male","pobre"
"01002094","0103103016.0630",1,NA,8,48,"Male","pobre"
"01002094","0103103018.0631",1,NA,4,46,"Female","pobre"
"01002094","0103103024.0634",1,NA,7,54,"Male","pobre"
"01008018","0105103026.0747",1,NA,3,41,"Female","no pobre"
"01008018","0105103028.0787",1,NA,4,49,"Male","no pobre"
"01008018","0105103030.0788",1,NA,5,41,"Male","pobre"
"01008018","0105103034.0789",1,NA,6,41,"Female","pobre"
"01008018","0105103038.0749",1,NA,6,40,"Male","no pobre"
"01008018","0105103040.0750",1,2800,2,43,"Male","no pobre"
"01008018","0105103042.0751",1,NA,7,48,"Female","pobre"
"01008018","0105103044.0752",1,NA,10,79,"Male","pobre"
"01008018","0105103046.0791",0,2800,5,61,"Female","no pobre"
"01008018","0105103048.0792",1,NA,7,31,"Male","pobre"
"01008018","0105103050.0753",1,NA,6,78,"Male","pobre"
"01008018","0105103052.0754",1,NA,7,40,"Male","pobre"
"01008018","0105103054.0755",1,NA,10,54,"Male","pobre"
"01008018","0105103056.0756",1,NA,5,32,"Male","pobre"
"01008018","0105103058.0757",1,NA,6,55,"Male","no pobre"
"01008018","0105103060.0758",1,NA,4,56,"Male","no pobre"
"01008018","0105103062.0759",0,NA,5,43,"Female","no pobre"
"01008018","0105103064.0760",1,NA,5,30,"Female","pobre"
"01008018","0105103066.0761",1,NA,5,69,"Female","pobre"
"01008018","0105103068.0762",0,NA,5,32,"Male","pobre"
"01008018","0105103070.0763",1,NA,4,32,"Female","pobre"
"01008022","0105103002.0775",1,4500,6,35,"Female","pobre"
"01008022","0105103004.0776",1,NA,6,44,"Male","pobre"
"01008022","0105103006.0777",1,NA,7,34,"Male","pobre"
"01008022","0105103008.0778",1,1350,3,30,"Female","pobre"
"01008022","0105103010.0779",1,1410,4,62,"Male","no pobre"
"01008022","0105103012.0780",1,NA,7,37,"Male","pobre"
"01008022","0105103014.0781",1,NA,4,32,"Male","pobre"
"01008022","0105103016.0782",1,NA,4,85,"Male","pobre"
"01008022","0105103018.0783",1,NA,3,44,"Female","pobre"
"01008022","0105103020.0784",1,NA,9,40,"Female","pobre"
"01008022","0105103022.0785",1,2000,5,32,"Male","pobre"
"01008022","0105103024.0786",0,NA,4,72,"Male","pobre"
"01009005","0106103002.0635",1,NA,7,44,"Male","pobre"
"01009005","0106103004.0636",1,NA,7,45,"Male","no pobre"
"01009005","0106103006.0637",1,NA,7,72,"Male","pobre"
"01009005","0106103008.0638",1,4000,8,41,"Male","pobre"
"01009005","0106103010.0639",1,NA,1,84,"Female","pobre"
"01009005","0106103012.0640",1,NA,4,33,"Male","no pobre"
"01009005","0106103014.0641",1,3200,7,51,"Male","pobre"
"01009005","0106103016.0642",1,NA,7,39,"Male","pobre"
"01009005","0106103018.0643",1,NA,3,36,"Female","pobre"
"01009005","0106103022.0645",1,3200,4,21,"Female","pobre"
"01009005","0106103024.0646",1,NA,4,28,"Male","pobre"
"01009028","0106103050.0751",1,3120,5,31,"Male","no pobre"
"01009028","0106103052.0752",1,NA,6,57,"Male","no pobre"
"01009028","0106103054.0753",1,NA,3,56,"Male","pobre"
"01009028","0106103056.0754",1,NA,5,32,"Male","pobre"
"01009028","0106103058.0755",1,NA,5,28,"Male","pobre"
"01009028","0106103060.0756",1,NA,4,31,"Male","pobre"
"01009028","0106103062.0757",0,NA,3,21,"Male","pobre"
"01009028","0106103064.0758",1,NA,10,41,"Male","pobre"
"01009028","0106103066.0759",1,NA,1,56,"Female","pobre"
"01009028","0106103068.0760",1,NA,8,40,"Male","pobre"
"01009028","0106103070.0761",1,NA,4,25,"Male","pobre"
"01009028","0106103072.0762",1,3600,2,67,"Male","pobre"
"01009051","0106103026.0723",1,2000,4,81,"Male","pobre"
"01009051","0106103028.0724",0,NA,5,78,"Female","pobre"
"01009051","0106103030.0725",1,NA,6,33,"Male","no pobre"
"01009051","0106103032.0726",1,NA,5,28,"Male","pobre"
"01009051","0106103034.0727",0,NA,1,78,"Female","pobre"
"01009051","0106103036.0728",1,NA,5,29,"Male","pobre"
"01009051","0106103038.0729",1,NA,3,58,"Male","no pobre"
"01009051","0106103040.0730",1,NA,4,27,"Male","pobre"
"01009051","0106103042.0731",1,NA,5,30,"Male","no pobre"
"01009051","0106103044.0732",1,3200,5,49,"Male","no pobre"
"01009051","0106103046.0733",1,NA,6,40,"Male","no pobre"
"01009051","0106103048.0734",1,NA,7,50,"Male","pobre"
"01010041","0107103026.0679",0,NA,4,32,"Female","pobre"
"01010041","0107103028.0680",1,NA,5,71,"Male","no pobre"
"01010041","0107103030.0681",1,NA,7,38,"Male","no pobre"
"01010041","0107103032.0682",1,NA,7,46,"Male","no pobre"
"01010041","0107103034.0683",1,NA,6,36,"Male","no pobre"
"01010041","0107103036.0684",1,NA,4,30,"Female","pobre"
"01010041","0107103038.0685",1,NA,5,39,"Male","pobre"
"01010041","0107103040.0686",0,NA,4,71,"Male","pobre"
"01010041","0107103042.0687",1,NA,1,63,"Female","no pobre"
"01010041","0107103044.0688",0,NA,6,37,"Male","no pobre"
"01010041","0107103046.0689",1,NA,4,71,"Male","pobre"
"01010041","0107103048.0690",0,NA,2,82,"Female","pobre"
"01010074","0107103050.0563",1,1960,10,53,"Male","pobre"
"01010074","0107103052.0564",1,NA,6,37,"Male","pobre"
"01010074","0107103054.0565",1,NA,4,27,"Male","pobre"
"01010074","0107103056.0566",1,NA,3,42,"Female","no pobre"
"01010074","0107103058.0567",1,NA,4,34,"Male","pobre"
"01010074","0107103060.0568",1,NA,5,45,"Male","pobre"
"01010074","0107103062.0569",1,NA,6,38,"Male","pobre"
"01010074","0107103064.0570",1,NA,4,40,"Female","pobre"
"01010074","0107103066.0571",1,NA,5,44,"Male","no pobre"
"01010074","0107103072.0574",1,NA,7,53,"Male","no pobre"
"01010119","0107103002.0651",1,NA,7,34,"Male","pobre"
"01010119","0107103004.0652",1,2800,6,31,"Male","pobre"
"01010119","0107103006.0653",1,3400,9,39,"Male","pobre"
"01010119","0107103008.0654",1,NA,10,47,"Male","pobre"
"01010119","0107103010.0655",1,NA,4,74,"Male","pobre"
"01010119","0107103012.0656",0,NA,2,87,"Female","pobre"
"01010119","0107103014.0657",1,NA,7,34,"Male","pobre"
"01010119","0107103016.0658",0,3400,6,38,"Male","pobre"
"01010119","0107103018.0659",1,NA,8,45,"Male","pobre"
"01010119","0107103020.0660",1,NA,5,36,"Male","no pobre"
"01010119","0107103022.0661",1,NA,4,35,"Male","pobre"
"01010119","0107103024.0662",0,NA,7,75,"Male","pobre"
"07006045","MQ2391511112",1,NA,5,43,"Male","pobre"
"07006045","MQ2391511113",1,NA,4,57,"Male","pobre"
"07006045","MQ2391511114",1,NA,5,27,"Female","pobre"
"07006045","MQ2391511115",1,NA,5,66,"Male","pobre"
"07006045","MQ3191511110",1,NA,4,29,"Male","pobre"
"07006045","MQ3191511111",1,NA,5,34,"Male","pobre"
"07006045","MQ3191511112",1,NA,6,68,"Male","pobre"
"07006045","MQ3191511113",1,1800,3,27,"Male","pobre"
"07006045","MQ3191511114",1,NA,5,29,"Male","pobre"
"07006045","MQ3191511115",1,NA,3,53,"Female","no pobre"
"07006045","MQ366151154",0,NA,3,43,"Male","pobre"
"07006045","MQ366151155",1,1800,2,70,"Male","pobre"
"07006045","MQ366151156",1,NA,3,25,"Male","pobre"
"07006045","MQ366151157",1,NA,10,51,"Male","pobre"
"07006045","MQ3731411108",1,NA,7,42,"Male","pobre"
"07006045","MQ3731411109",1,NA,5,71,"Male","pobre"
"07006045","MQ3731411110",1,NA,3,45,"Male","pobre"
"07006045","MQ3731411111",1,NA,4,33,"Male","pobre"
